,,Density Lab (Trial),Solar Power (Trial),Anatomy and Physiology,Battery Buggy,Crime Busters,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fast Facts,Herpetology,Hovercraft,Meteorology,Microbe Mission,Mystery Architecture,Optics,Potions and Poisons,Road Scholar,Rocks and Minerals,Roller Coaster,Solar System,Thermodynamics,Towers,Wright Stuff,Write It Do It
1,Jeffrey Trail M.S. (CA),12,8,12,23,19,21,40,3,7,7,9,7,29,7,17,2,29,17,25,10,10,3,24,6,15
2,Kennedy M.S. (CA),2,25,7,2,32,7,2,2,9,8,13,3,4,20,3,21,3,19,3,9,12,2,7,11,49
3,Piedmont IB M.S. (NC),21,23,10,3,1,35,4,25,23,13,24,4,33,21,5,3,5,2,11,18,6,39,26,8,7
4,Fred J Carnage Magnet M.S. (NC),8,61,45,7,14,43,23,47,35,27,28,47,39,28,34,7,22,37,32,23,40,31,40,32,24
5,Slauson M.S. (MI),9,15,28,13,37,30,30,14,11,10,16,15,6,4,46,6,31,10,16,4,23,8,18,26,1
6,Meads Mill M.S. (MI),26,17,6,8,2,6,28,29,5,17,10,2,45,3,48,28,9,27,2,2,4,15,13,9,9
7,Paul Gelinas J.H.S. (NY),14,31,18,39,33,14,14,4,10,19,18,20,28,2,7,17,21,3,5,7,18,26,10,12,5
8,Howard Goff M.S. (NY),13,14,33,11,24,5,15,17,28,29,33,19,7,30,43,37,17,32,12,15,7,24,19,40,8
9,Daniel Wright J.H.S. (IL),25,22,1,15,3,1,5,11,4,11,4,17,2,1,14,12,4,6,6,12,21,13,4,16,6
10,Science & Arts Academy (IL),33,2,22,24,28,23,8,5,36,26,19,26,24,12,38,8,11,23,29,60,16,11,3,30,21
11,Solon M.S. (OH),16,6,4,1,10,4,9,1,1,5,2,30,10,18,9,1,1,8,1,5,1,5,6,13,28
12,Tower Heights M.S. (OH),40,61,17,20,6,9,26,16,27,37,20,1,23,13,25,9,30,34,21,3,30,10,1,1,13
13,Springhouse M.S. (PA),61,61,11,10,20,15,13,6,8,2,17,12,14,5,22,22,16,1,4,6,5,35,38,5,22
14,Shady Side Academy (PA),32,35,36,40,7,12,12,13,6,6,15,11,15,24,60,5,24,4,22,11,14,4,5,25,16
15,Dodgen M.S. (GA),36,7,46,18,29,24,6,24,24,25,40,33,1,38,24,24,38,5,27,27,19,27,20,51,44
16,Fulton Science Academy (GA),22,13,34,49,12,38,41,19,20,38,29,22,35,35,37,31,52,13,23,35,32,40,51,35,34
17,Beckendorff J.H.S. (TX),3,3,15,12,5,3,10,8,3,4,1,14,11,6,39,29,2,21,9,34,11,14,48,34,2
18,Kealing M.S. (TX),20,38,24,45,23,17,16,7,22,20,12,31,16,34,29,43,12,12,13,17,28,23,30,31,19
19,River City Science Academy (FL),61,61,43,54,38,44,48,59,42,44,53,38,55,50,18,58,51,52,54,60,49,56,39,24,38
20,Archimedean Middle Conservatory (FL),34,37,21,60,39,20,36,40,46,51,43,23,18,22,21,10,23,15,52,25,54,19,56,19,57
21,Pembroke Hill M.S. (MO),61,61,37,29,44,26,33,20,18,16,3,9,27,27,42,13,7,26,8,60,8,18,23,42,23
22,Cedar Springs Homeschool (TN),4,20,25,43,11,40,37,49,16,36,38,36,19,36,13,40,34,24,41,38,31,28,45,36,35
23,Evergreen M.S. (WA),23,16,14,28,21,2,3,23,32,12,31,16,3,41,54,27,15,29,7,22,13,6,37,48,30
24,Thomas Jefferson M.S. (IN),18,24,13,4,15,11,38,22,21,18,26,24,34,11,8,32,37,16,15,20,24,29,9,55,4
25,Longfellow M.S. (VA),11,5,23,48,4,16,1,18,12,9,27,13,5,23,15,4,18,14,18,14,3,16,21,23,3
26,Pleasant Ridge M.S. (KS),37,12,29,22,42,39,19,36,30,32,22,27,41,40,33,11,39,38,58,60,22,9,43,44,17
27,Preston M.S. (CO),61,61,27,30,13,22,32,41,19,23,39,49,21,19,35,45,19,25,26,13,36,30,55,28,54
28,Hamilton M.S. (WI),1,32,50,9,18,8,20,37,17,15,6,18,20,8,28,15,10,7,14,26,17,12,14,4,36
29,North Bethesda M.S. (MD),41,29,30,47,17,13,35,35,14,43,23,6,17,31,20,34,40,43,42,60,55,44,46,50,50
30,Wachter M.S. (ND),47,40,40,16,22,42,49,50,25,50,42,35,58,45,1,53,59,41,51,60,57,49,25,54,41
31,Coolidge M.S. (MA),29,41,39,25,43,45,22,44,41,33,35,39,32,42,32,23,33,35,24,60,34,37,28,43,18
32,Auburn Junior H.S. (AL),24,43,35,37,47,18,42,12,37,39,25,28,9,17,50,46,35,45,46,21,15,43,2,33,26
33,CR Anderson M.S. (MT),61,61,57,35,61,61,61,61,50,59,61,61,61,61,49,61,47,61,49,41,50,61,53,46,53
34,Mission M.S. (NE),39,45,32,41,46,51,21,31,45,54,14,41,31,25,47,14,58,31,37,16,33,22,15,21,12
35,Community M.S. (NJ),15,28,5,5,9,10,7,10,26,3,8,10,8,10,23,20,8,11,10,8,2,1,16,10,10
36,Albuquerque Area Homeschool (NM),42,34,2,31,57,28,58,28,49,56,44,37,37,29,4,39,36,20,36,31,39,46,17,2,58
37,HB DuPont M.S. (DE),27,61,42,51,27,27,54,48,43,53,45,29,54,37,52,49,14,28,35,60,45,20,50,37,55
38,Meyzeek M.S. (KY),5,26,9,46,16,48,17,21,57,30,32,45,25,15,58,18,49,57,57,24,20,32,27,38,11
39,Highlands Intermediate School (HI),6,19,19,14,26,25,11,15,2,1,7,8,13,14,26,36,6,9,19,60,9,7,8,14,27
40,Esperero Canyon (AZ),61,61,26,38,55,56,27,33,51,45,51,50,57,58,11,35,50,40,33,60,38,42,32,49,33
41,Fairfield J.H.S. (UT),19,33,60,27,30,34,18,51,52,47,37,25,22,51,41,47,46,22,39,60,37,45,35,53,14
42,Clinton M.S. (SC),61,61,31,42,41,19,39,34,40,35,41,58,46,52,45,54,27,46,28,36,52,59,49,41,47
43,Treasure Valley Homeschool (ID),61,61,55,55,35,37,53,46,48,58,49,55,56,46,19,38,56,44,44,28,58,25,22,52,60
44,Chippewa M.S. (MN),7,39,3,6,36,29,44,32,29,46,11,5,26,26,2,30,20,33,34,19,43,38,11,45,25
45,Gallagher M.S. (RI),46,21,44,26,58,53,46,52,38,60,58,51,36,47,44,51,57,48,56,33,56,47,29,56,40
46,Casady School (OK),31,18,54,17,45,47,34,43,44,42,48,21,42,48,55,52,28,55,40,60,53,34,42,39,42
47,Germantown M.S. (MS),17,1,8,53,48,36,31,30,60,34,50,44,51,43,59,42,26,54,55,37,59,48,54,58,45
48,Stoller M.S. (OR),10,10,16,32,34,31,47,38,13,31,30,46,44,16,40,19,13,36,30,60,27,21,41,15,43
49,Teeland M.S. (AK),38,44,52,34,53,58,56,54,59,52,57,53,50,56,57,56,53,51,38,60,51,58,12,20,59
50,Bedford M.S. (CT),30,9,58,19,49,32,25,27,39,24,21,32,12,39,6,25,32,18,31,1,26,17,34,18,39
51,Ames M.S. (IA),28,30,51,44,31,33,29,39,33,21,5,34,43,32,27,48,42,30,17,30,25,53,44,27,20
52,St. John Berchmans (LA),48,36,53,50,51,49,50,53,55,49,54,52,47,49,36,57,43,53,59,60,35,54,36,17,37
53,Hyde Park M.S. Acad. of Sci. & Math (NV),44,27,20,60,50,41,24,26,34,14,36,42,30,9,31,33,25,42,20,29,29,51,47,7,48
54,LISA Academy Charter West (AR),61,61,38,60,54,50,52,42,54,40,55,59,48,44,10,59,41,58,53,40,44,57,60,59,32
55,BASIS DC (DC),35,4,56,57,56,57,57,9,53,22,59,43,40,33,51,16,48,50,50,60,47,36,52,60,51
56,Riverton M.S. (WY),61,61,48,52,61,61,51,58,56,57,34,40,38,59,16,55,61,47,47,32,42,55,59,57,52
57,Walpole School (NH),61,61,41,21,25,46,43,55,31,48,47,48,52,57,56,50,55,39,43,39,41,52,58,22,31
58,Yankton M.S. (SD),43,11,49,33,40,52,45,56,58,28,52,54,49,53,12,26,45,49,45,60,48,33,33,29,46
59,Medomak M.S. (ME),61,61,47,36,52,54,55,45,47,55,56,56,53,54,53,44,54,59,48,60,46,50,57,47,56
60,Huntington M.S. (WV),45,42,59,56,8,55,59,57,15,41,46,57,59,55,30,41,44,56,60,60,60,41,31,3,29
